measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank__1_fa,blank__1_ra,blank__2_fa,blank__2_ra,blank__3_fa,blank__3_ra,wwtp_fa1,wwtp_fa2,wwtp_avg_1,wwtp_stdev_1,wwtp_ra1,wwtp_ra2,wwtp_avg_2,wwtp_stdev_2,chase__ra,ntd_fa
Cu 324.752 - A,0.0057,,,,,,,,,,,,,,,,,,,,,0.0073,0.0082,0.0078,0.0005,0.0119,0.011,0.0115,0.0005,0.0117,0.0129,0.0123,0.0006,,,,,,,,,0.0101,0.0093,0.0097,0.0004,0.0117,0.0109,0.0113,0.0004,0.0079,0.0078,0.0079,0.0001,0.0103,0.0108,0.0106,0.0003,,,,,0.0089,0.0072,0.0081,0.0009,,,,,,,,,,,,,,,0.0083,9.4126
Cr 205.560 - A,0.0007,,,,,,,,,,,,,,,,,,,,,,0.0017,0.0017,0.0,,,,,,0.001,0.001,0.0,0.0017,0.001,0.0014,0.0004,0.0013,0.0011,0.0012,0.0001,,,,,,,,,,0.0008,0.0008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0276
Fe 238.204 - A,0.0016,0.0096,0.0088,0.0092,0.0004,0.0905,0.0859,0.0882,0.0023,0.0143,0.0152,0.0148,0.0005,0.1003,0.1024,0.1014,0.0011,0.0739,0.0784,0.0762,0.0023,0.2956,0.3019,0.2988,0.0032,0.0227,0.0287,0.0257,0.003,0.1364,0.1317,0.1341,0.0023,,,,,0.2424,0.2417,0.2421,0.0004,0.02,0.0209,0.0205,0.0004,0.153,0.1455,0.1493,0.0038,0.0355,0.0369,0.0362,0.0007,0.1221,0.1277,0.1249,0.0028,0.0296,0.031,0.0303,0.0007,0.1721,0.1665,0.1693,0.0028,,,,,,,0.006,0.0065,0.0063,0.0003,0.018,0.0187,0.0184,0.0004,0.2396,23.1321
K 766.490 - R,0.1081,0.6972,0.7239,0.7106,0.0134,0.6963,0.6882,0.6923,0.0041,0.7644,0.7641,0.7643,0.0001,0.7287,0.7504,0.7396,0.0109,0.99,0.9715,0.9808,0.0092,1.0222,1.0195,1.0209,0.0013,1.0918,1.1375,1.1147,0.0228,1.1356,1.1452,1.1404,0.0048,8.1268,7.9086,8.0177,0.1091,8.1243,7.9929,8.0586,0.0657,1.2584,1.3044,1.2814,0.023,1.2629,1.2838,1.2734,0.0105,1.1424,1.1947,1.1686,0.0262,1.1713,1.1505,1.1609,0.0104,1.8893,1.9445,1.9169,0.0276,1.8859,1.9082,1.8971,0.0112,,,,,,,12.7076,12.7635,12.7356,0.028,13.3045,12.9805,13.1425,0.162,2.1947,4.6741
Li 670.784 - R,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0296,0.0275,0.0286,0.0011,0.0265,0.0282,0.0274,0.0009,,,,,,,,,,0.0054,0.0054,0.0,,,,,,,,,,,,,,,,,,,0.0146,0.0143,0.0145,0.0002,0.0138,0.014,0.0139,0.0001,,0.0597
Mg 285.213 - R,0.0044,1.5344,1.4978,1.5161,0.0183,1.5386,1.4981,1.5184,0.0203,1.71,1.7163,1.7132,0.0031,1.7265,1.7553,1.7409,0.0144,3.026,3.0368,3.0314,0.0054,3.1528,3.1212,3.137,0.0158,3.4097,3.5037,3.4567,0.047,3.4824,3.54,3.5112,0.0288,73.7997,69.2239,71.5118,2.2879,73.4151,72.8765,73.1458,0.2693,4.701,4.7254,4.7132,0.0122,4.809,4.8048,4.8069,0.0021,4.1643,4.4312,4.2978,0.1335,4.1727,4.097,4.1349,0.0378,5.893,6.072,5.9825,0.0895,6.0306,6.0418,6.0362,0.0056,,,,,,,33.6278,33.4818,33.5548,0.073,33.097,33.5896,33.3433,0.2463,8.4269,96.2962
Mg 279.077 - R,0.0203,1.5451,1.5231,1.5341,0.011,1.5745,1.5491,1.5618,0.0127,1.7613,1.724,1.7427,0.0187,1.7852,1.7907,1.788,0.0028,3.1237,3.1211,3.1224,0.0013,3.1673,3.1827,3.175,0.0077,3.4903,3.5141,3.5022,0.0119,3.498,3.5581,3.5281,0.03,72.1286,70.3443,71.2365,0.8922,71.6713,70.3509,71.0111,0.6602,4.8975,4.7791,4.8383,0.0592,4.947,4.9619,4.9545,0.0074,4.2,4.2875,4.2438,0.0437,4.2062,4.3179,4.2621,0.0559,6.0302,6.0612,6.0457,0.0155,6.2285,6.223,6.2258,0.0028,,,,,,,36.2393,35.7532,35.9963,0.2431,34.3409,35.3216,34.8313,0.4903,8.6094,96.0692
Mn 257.610 - A,0.0002,0.0024,0.0024,0.0024,0.0,0.0073,0.0067,0.007,0.0003,0.0243,0.025,0.0247,0.0004,0.0303,0.0318,0.0311,0.0008,0.059,0.0593,0.0592,0.0002,0.07,0.0698,0.0699,0.0001,0.1713,0.1725,0.1719,0.0006,0.1752,0.1775,0.1764,0.0012,0.1705,0.1695,0.17,0.0005,0.2475,0.2455,0.2465,0.001,0.1649,0.1623,0.1636,0.0013,0.1767,0.1707,0.1737,0.003,0.1234,0.1231,0.1233,0.0001,0.1266,0.129,0.1278,0.0012,0.1157,0.1154,0.1156,0.0001,0.1311,0.1268,0.129,0.0022,,,,,,,0.0109,0.011,0.011,0.0,0.0124,0.0126,0.0125,0.0001,0.2544,80.7676
Mo 202.031 - A,0.0012,0.0026,0.0034,0.003,0.0004,0.0012,,0.0012,0.0,0.0025,0.0016,0.0021,0.0005,0.0025,0.0027,0.0026,0.0001,0.0016,0.0023,0.002,0.0004,0.0024,0.004,0.0032,0.0008,0.0023,0.0014,0.0019,0.0005,0.0023,0.0042,0.0033,0.001,0.0023,0.0019,0.0021,0.0002,0.0039,0.0018,0.0029,0.0011,0.0025,,0.0025,0.0,0.0018,0.0023,0.0021,0.0003,,,,,,0.0022,0.0022,0.0,,0.0026,0.0026,0.0,,0.0014,0.0014,0.0,,,,,,,0.0083,0.0097,0.009,0.0007,0.0091,0.0098,0.0095,0.0004,0.0021,
Na 589.592 - R,0.0193,3.1668,3.0092,3.088,0.0788,3.0629,2.9433,3.0031,0.0598,3.7245,3.7575,3.741,0.0165,3.7323,3.8314,3.7819,0.0496,8.5216,8.5515,8.5366,0.015,9.1193,8.575,8.8472,0.2722,10.2503,10.7681,10.5092,0.2589,10.832,11.0916,10.9618,0.1298,34.3919,31.3465,32.8692,1.5227,34.0586,33.5217,33.7902,0.2684,11.0116,10.9041,10.9579,0.0538,10.9583,10.9485,10.9534,0.0049,9.378,9.7151,9.5466,0.1686,9.7325,9.1651,9.4488,0.2837,14.3542,15.6719,15.0131,0.6589,15.0089,14.7504,14.8797,0.1293,,,,,,,59.5446,63.2679,61.4063,1.8617,61.6378,65.5039,63.5709,1.9331,5.6147,199.8706
Ni 231.604 - A,0.0015,,,,,0.0069,,0.0069,0.0,,,,,,,,,,,,,,,,,0.0021,,0.0021,0.0,,0.0017,0.0017,0.0,,,,,0.0021,,0.0021,0.0,0.0025,,0.0025,0.0,0.0015,,0.0015,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7254
P 213.617 - A,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0137,,0.0137,0.0,,,,,,,0.0334,0.0349,0.0342,0.0008,0.0828,0.0847,0.0838,0.0009,,0.9235
P 177.434 - A,0.0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0477,0.0767,0.0622,0.0145,,,,,,,,,,,,,,,,,,0.0258,0.0258,0.0,,,,,,0.0321,0.0321,0.0,,,,,,,0.1476,0.1599,0.1538,0.0061,0.1487,0.1633,0.156,0.0073,,
Pb 220.353 - A,0.005,,,,,,,,,,,,,,,,,,,,,,,,,0.0074,,0.0074,0.0,0.0071,0.0064,0.0068,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0786
