measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra,blank__2_fa,blank__2_ra,wwtp_fa1,wwtp_fa2,wwtp_avg_1,wwtp_stdev_1,wwtp_ra1,wwtp_ra2,wwtp_avg_2,wwtp_stdev_2,chase_gulch_ra,ntd_ra
P 213.617 - A,0.012834348,,,,,,,,,,,,,,,,,,,,,,,,,,0.017415031,0.0174,0.0,,0.014070701,0.0141,0.0,,,,,,,,,,,,,0.01643403,,0.0164,0.0,0.018140521,0.017883532,0.018,0.0001,0.020029721,0.023007561,0.0215,0.0015,0.018843194,0.016722853,0.0178,0.0011,0.033122596,0.026570953,0.0298,0.0033,0.047015999,0.037147175,0.043819495,0.042179682,0.06547315,0.05220919,0.0588,0.0066,0.109224872,0.101940216,0.1056,0.0036,0.030140966,0.521525184
P 177.434 - A,0.02308595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05110908,0.053487148,0.0523,0.0012,0.09531592,0.118371861,0.1068,0.0115,,
Pb 220.353 - A,0.005028069,,,,,,,,,,,,,,0.00567665,0.0057,0.0,,,,,,,,,,0.005732908,0.0057,0.0,0.00923798,,0.0092,0.0,,,,,,,,,,,,,0.007126761,,0.0071,0.0,,,,,0.006537049,,0.0065,0.0,,0.00515388,0.0052,0.0,,,,,,,,,,,,,,,,,0.006650966,0.032093778
S 181.975 - A,0.014820428,2.666323302,2.739662582,2.703,0.0367,2.733956862,2.743109398,2.7385,0.0046,4.947811477,4.945671392,4.9467,0.0011,4.786297805,4.904561378,4.8454,0.0591,6.208970189,6.009450284,6.1092,0.0998,6.258708288,6.086431546,6.1726,0.0861,14.99770944,15.03274546,15.0152,0.0175,15.07828787,15.12190524,15.1001,0.0218,477.0458281,465.7861194,471.416,5.6299,464.1158698,489.2684775,476.6922,12.5763,53.83401556,54.74352288,54.2888,0.4548,53.69815412,55.2884978,54.4933,0.7952,46.45599193,47.70608479,47.081,0.625,47.30805368,46.56279366,46.9354,0.3726,49.74082474,48.62379939,49.1823,0.5585,49.62494447,49.46734606,49.5461,0.0788,,,,,24.6131154,25.09459698,24.8539,0.2407,25.13062934,25.07805493,25.1043,0.0263,21.63453472,357.9976203
S 180.669 - A,0.007192043,2.937123871,3.002035221,2.9696,0.0325,2.996777127,3.021834229,3.0093,0.0125,5.349185421,5.351618612,5.3504,0.0012,5.198252659,5.350704852,5.2745,0.0762,6.734106937,6.552594852,6.6434,0.0908,6.764100243,6.594144867,6.6791,0.085,16.08564816,16.18849741,16.1371,0.0514,16.22093517,16.2754007,16.2482,0.0272,436.920898,456.3328281,446.6269,9.706,453.2429509,444.7259777,448.9845,4.2585,56.57844633,57.77452486,57.1765,0.598,56.65761715,58.5461805,57.6019,0.9443,49.00447071,50.16821255,49.5863,0.5819,49.67733298,49.28655841,49.4819,0.1954,51.98139112,51.14541718,51.5634,0.418,52.12493778,51.90846099,52.0167,0.1082,,,0.022373462,,26.07372074,26.2537162,26.1637,0.09,26.82325248,26.53155634,26.6774,0.1458,21.87342479,356.5005189
Sb 217.582 - A,0.003666534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se 196.026 - A,0.008234148,,,,,,,,,,,,,,,,,,,,,,,,,,0.011511278,0.0115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013993249
Si 251.611 - A,0.1031,5.059885347,5.205667842,5.1328,0.0729,5.188178709,5.212848689,5.2005,0.0123,5.361344899,5.299650549,5.3305,0.0308,5.345600042,5.351434506,5.3485,0.0029,5.375662281,5.317500307,5.3466,0.0291,5.441628635,5.417205184,5.4294,0.0122,5.689044414,5.684247795,5.6866,0.0024,5.815191097,5.800839802,5.808,0.0072,1.052559891,1.035197409,1.0439,0.0087,1.112238855,1.144586528,1.1284,0.0162,5.305479524,5.447046855,5.3763,0.0708,5.53849951,5.701535356,5.62,0.0815,5.568967849,5.709582076,5.6393,0.0703,5.713675796,5.658742408,5.6862,0.0275,5.815752123,5.654670473,5.7352,0.0805,6.177876005,6.158595453,6.1682,0.0096,,,,,4.599633187,4.569482828,4.5846,0.0151,4.687514398,4.640893535,4.6642,0.0233,6.013951825,18.01369166
Sn 189.927 - A,0.00540529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr 460.733 - A,0.000293189,0.076459401,0.080575056,0.0785,0.0021,0.077254856,0.078509223,0.0779,0.0006,0.091444068,0.088287864,0.0899,0.0016,0.087014011,0.089164677,0.0881,0.0011,0.095547202,0.096122426,0.0958,0.0003,0.086482062,0.09204365,0.0893,0.0028,0.156537365,0.155595179,0.1561,0.0005,0.16205757,0.15195773,0.157,0.005,3.109581575,3.067466672,3.0885,0.0211,3.02996238,3.237873447,3.1339,0.104,0.427983871,0.405862086,0.4169,0.0111,0.413021922,0.399365006,0.4062,0.0068,0.386173247,0.394953745,0.3906,0.0044,0.385045068,0.391490192,0.3883,0.0032,0.433864427,0.41503315,0.4244,0.0094,0.413406538,0.458514775,0.436,0.0226,,,,,0.206199864,0.193068084,0.1996,0.0066,0.203284248,0.220638659,0.212,0.0087,0.14846631,0.746506862
Ti 334.940 - A,9.03974E-05,,,,,0.000447669,0.000531059,0.0005,0.0,,,,,0.002414175,0.0008613,0.0016,0.0008,,,,,0.000902057,0.000737401,0.0008,0.0001,,,,,0.000783478,0.001584691,0.0012,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006137173,0.007018086,0.0066,0.0004,,,,,,,,,,,,,0.001120946,
Tl 190.801 - A,0.010479872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012576045,,,0.010804068,,,,,,,,,0.011857259,
V 292.402 - A,0.000383601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn 213.857 - A,0.0023,0.00779824,0.005919987,0.0069,0.0009,0.00610515,0.005619692,0.0059,0.0002,0.129702205,0.126659858,0.1282,0.0015,0.132492414,0.136292762,0.1344,0.0019,0.096878531,0.094993486,0.0959,0.0009,0.113265336,0.110334097,0.1118,0.0015,0.251136014,0.253716958,0.2524,0.0013,0.281079961,0.277172092,0.2791,0.002,0.027052199,0.028027657,0.0275,0.0005,0.04376348,0.045248802,0.0445,0.0007,0.233940161,0.236938692,0.2354,0.0015,0.250253019,0.263948021,0.2571,0.0068,0.200449047,0.20456103,0.2025,0.0021,0.223094761,0.220161646,0.2216,0.0015,0.138196209,0.136784478,0.1375,0.0007,0.162911904,0.161208862,0.1621,0.0009,0.003077411,0.002705008,0.004115225,0.003470359,0.099234805,0.100328208,0.0998,0.0005,0.101897725,0.100962804,0.1014,0.0005,1.374033546,23.7237002
Zn 206.200 - A,0.0023,0.003948958,,0.0039,0.0,0.002428305,0.002302264,0.0024,0.0001,0.119556684,0.116741135,0.1181,0.0014,0.123666152,0.126556023,0.1251,0.0014,0.087146891,0.08481185,0.086,0.0012,0.103261949,0.100784341,0.102,0.0012,0.244638514,0.246292932,0.2455,0.0008,0.275473789,0.271793988,0.2736,0.0018,0.006813596,0.007993544,0.0074,0.0006,0.021438317,0.022224346,0.0218,0.0004,0.217537675,0.220664974,0.2191,0.0016,0.238184843,0.246964612,0.2426,0.0044,0.174148086,0.177687526,0.1759,0.0018,0.193811129,0.191808482,0.1928,0.001,0.116327379,0.113912706,0.1151,0.0012,0.138592532,0.136723458,0.1377,0.0009,,,,,0.081780101,0.082398627,0.0821,0.0003,0.082551666,0.082160909,0.0824,0.0002,1.300895747,24.51846183
Co 228.616,0.0011,,,,,,,,,0.00116288,0.001683318,0.0014,0.0003,0.001122026,0.00145676,0.0013,0.0002,0.001642559,0.001838023,0.0017,0.0001,0.001547142,0.001487575,0.0015,0.0,0.002478763,0.002758624,0.0026,0.0001,0.002577617,0.002613092,0.0026,0.0,0.00277981,0.002611496,0.0027,0.0001,0.003051547,0.003175224,0.0031,0.0001,0.003266876,0.00291234,0.0031,0.0002,0.003058541,0.002867118,0.003,0.0001,0.003050396,0.003018561,0.003,0.0,0.003349802,0.003114552,0.0032,0.0001,0.002919255,0.002943891,0.0029,0.0,0.002934952,0.002856269,0.0029,0.0,0.003377675,0.003409661,0.003539664,0.003110735,0.003901993,0.003623011,0.0038,0.0001,0.002588067,0.002706423,0.0026,0.0001,0.003372855,0.19208981
