Name,Domain,Indicator,Year,Month,NAME,GeogID,Measure,TType,Value,ts,measureName,indicatorName,contentAreaName
GLENDALE NORTH,CD,80,2019,ALL,GLENDALE NORTH,56,428,ALL,94.78,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GLENDALE WEST,CD,80,2019,ALL,GLENDALE WEST,57,428,ALL,26.78,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GLOBE,CD,80,2019,ALL,GLOBE,24,428,ALL,25.37,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GOLD CANYON,CD,80,2019,ALL,GOLD CANYON,90,428,ALL,4.35,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GOLDEN VALLEY,CD,80,2019,ALL,GOLDEN VALLEY,4,428,ALL,6.94,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GOODYEAR & LITCHFIELD PARK,CD,80,2019,ALL,GOODYEAR & LITCHFIELD PARK,63,428,ALL,47.39,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GRAND CANYON VILLAGE,CD,80,2019,ALL,GRAND CANYON VILLAGE,9,428,ALL,36.81,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GREEN VALLEY,CD,80,2019,ALL,GREEN VALLEY,118,428,ALL,2.62,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
HOPI TRIBE,CD,80,2019,ALL,HOPI TRIBE,11,428,ALL,2.7,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
HUALAPAI TRIBE,CD,80,2019,ALL,HUALAPAI TRIBE,3,428,ALL,0.03,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
KINGMAN,CD,80,2019,ALL,KINGMAN,2,428,ALL,32.53,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
LAKE HAVASU CITY,CD,80,2019,ALL,LAKE HAVASU CITY,6,428,ALL,26,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
LAVEEN VILLAGE,CD,80,2019,ALL,LAVEEN VILLAGE,40,428,ALL,38.8,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
MARANA,CD,80,2019,ALL,MARANA,101,428,ALL,39.91,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
MARICOPA,CD,80,2019,ALL,MARICOPA,94,428,ALL,26.47,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
