source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
GardenRoots,mg/kg,"34.63,-112.09",centroid,barium,,2011-01-01,Fruiting Vegetables,0.674
GardenRoots,mg/kg,"34.63,-112.09",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.0154
GardenRoots,mg/kg,"34.63,-112.09",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.133
GardenRoots,mg/kg,"34.63,-112.09",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.45
GardenRoots,mg/kg,"34.63,-112.09",centroid,manganese,,2011-01-01,Fruiting Vegetables,13.60752597
GardenRoots,mg/kg,"34.63,-112.09",centroid,nickel,,2011-01-01,Fruiting Vegetables,0.707
GardenRoots,mg/kg,"34.63,-112.09",centroid,lead,,2011-01-01,Fruiting Vegetables,0.0276
GardenRoots,mg/kg,"34.63,-112.09",centroid,zinc,,2011-01-01,Fruiting Vegetables,24.45969337
GardenRoots,mg/kg,"34.63,-112.09",centroid,copper,,2011-01-01,Fruiting Vegetables,9.941679984
GardenRoots,mg/kg,"34.63,-112.09",centroid,arsenic,,2011-01-01,Bulb Vegetables,0.419
GardenRoots,mg/kg,"34.63,-112.09",centroid,barium,,2011-01-01,Bulb Vegetables,1.697144569
GardenRoots,mg/kg,"34.63,-112.09",centroid,beryllium,,2011-01-01,Bulb Vegetables,0.015368
GardenRoots,mg/kg,"34.63,-112.09",centroid,cadmium,,2011-01-01,Bulb Vegetables,0.0442
GardenRoots,mg/kg,"34.63,-112.09",centroid,chromium,,2011-01-01,Bulb Vegetables,0.45
GardenRoots,mg/kg,"34.63,-112.09",centroid,manganese,,2011-01-01,Bulb Vegetables,21.66366314
GardenRoots,mg/kg,"34.63,-112.09",centroid,nickel,,2011-01-01,Bulb Vegetables,1.266089257
GardenRoots,mg/kg,"34.63,-112.09",centroid,lead,,2011-01-01,Bulb Vegetables,0.562
GardenRoots,mg/kg,"34.63,-112.09",centroid,zinc,,2011-01-01,Bulb Vegetables,38.28371106
GardenRoots,mg/kg,"34.63,-112.09",centroid,copper,,2011-01-01,Bulb Vegetables,11.64830272
GardenRoots,mg/kg,"34.63,-112.09",centroid,arsenic,,2011-01-01,Bulb Vegetables,0.419
GardenRoots,mg/kg,"34.63,-112.09",centroid,barium,,2011-01-01,Bulb Vegetables,0.478
GardenRoots,mg/kg,"34.63,-112.09",centroid,beryllium,,2011-01-01,Bulb Vegetables,0.015368
GardenRoots,mg/kg,"34.63,-112.09",centroid,cadmium,,2011-01-01,Bulb Vegetables,0.0223
GardenRoots,mg/kg,"34.63,-112.09",centroid,chromium,,2011-01-01,Bulb Vegetables,0.45
GardenRoots,mg/kg,"34.63,-112.09",centroid,manganese,,2011-01-01,Bulb Vegetables,7.009691432
GardenRoots,mg/kg,"34.63,-112.09",centroid,nickel,,2011-01-01,Bulb Vegetables,0.392
GardenRoots,mg/kg,"34.63,-112.09",centroid,lead,,2011-01-01,Bulb Vegetables,0.0392
GardenRoots,mg/kg,"34.63,-112.09",centroid,zinc,,2011-01-01,Bulb Vegetables,29.01379569
GardenRoots,mg/kg,"34.63,-112.09",centroid,copper,,2011-01-01,Bulb Vegetables,5.660425404
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Leafy,0.419
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Leafy,4.467188435
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Leafy,0.015368
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Leafy,0.404
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Leafy,1.162911266
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Leafy,12.52567298
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Leafy,1.661545364
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Leafy,0.0348
GardenRoots,mg/kg,"34.45,-111.98",centroid,zinc,,2011-01-01,Leafy,44.9941675
GardenRoots,mg/kg,"34.45,-111.98",centroid,copper,,2011-01-01,Leafy,23.14184447
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Fruiting Vegetables,0.419
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Fruiting Vegetables,3.987939297
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.015368
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.0721
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.45
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Fruiting Vegetables,10.45177716
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Fruiting Vegetables,3.108486422
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Fruiting Vegetables,8.126028355
GardenRoots,mg/kg,"34.45,-111.98",centroid,zinc,,2011-01-01,Fruiting Vegetables,21.29083466
GardenRoots,mg/kg,"34.45,-111.98",centroid,copper,,2011-01-01,Fruiting Vegetables,11.18048123
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Fruiting Vegetables,0.419
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Fruiting Vegetables,6.318753739
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.015368
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.0841
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.45
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Fruiting Vegetables,16.29729811
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Fruiting Vegetables,0.392
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Fruiting Vegetables,0.0459
GardenRoots,mg/kg,"34.45,-111.98",centroid,zinc,,2011-01-01,Fruiting Vegetables,39.66915254
GardenRoots,mg/kg,"34.45,-111.98",centroid,copper,,2011-01-01,Fruiting Vegetables,16.12483549
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Fruiting Vegetables,0.419
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Fruiting Vegetables,0.79
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.015368
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.122
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.45
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Fruiting Vegetables,12.31472117
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Fruiting Vegetables,1.274565261
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Fruiting Vegetables,4.487317609
GardenRoots,mg/kg,"34.45,-111.98",centroid,zinc,,2011-01-01,Fruiting Vegetables,17.2148311
GardenRoots,mg/kg,"34.45,-111.98",centroid,copper,,2011-01-01,Fruiting Vegetables,6.825284829
GardenRoots,mg/kg,"34.63,-112.09",centroid,arsenic,,2011-01-01,Bulb Vegetables,0.419
GardenRoots,mg/kg,"34.63,-112.09",centroid,barium,,2011-01-01,Bulb Vegetables,4.858478131
GardenRoots,mg/kg,"34.63,-112.09",centroid,beryllium,,2011-01-01,Bulb Vegetables,0.015368
GardenRoots,mg/kg,"34.63,-112.09",centroid,cadmium,,2011-01-01,Bulb Vegetables,0.0549
GardenRoots,mg/kg,"34.63,-112.09",centroid,chromium,,2011-01-01,Bulb Vegetables,0.45
GardenRoots,mg/kg,"34.63,-112.09",centroid,manganese,,2011-01-01,Bulb Vegetables,53.08413721
GardenRoots,mg/kg,"34.63,-112.09",centroid,nickel,,2011-01-01,Bulb Vegetables,0.412
GardenRoots,mg/kg,"34.63,-112.09",centroid,lead,,2011-01-01,Bulb Vegetables,0.163
GardenRoots,mg/kg,"34.63,-112.09",centroid,zinc,,2011-01-01,Bulb Vegetables,26.69576093
GardenRoots,mg/kg,"34.63,-112.09",centroid,copper,,2011-01-01,Bulb Vegetables,6.198981426
GardenRoots,mg/kg,"34.63,-112.09",centroid,arsenic,,2011-01-01,Leafy,0.419
GardenRoots,mg/kg,"34.63,-112.09",centroid,barium,,2011-01-01,Leafy,45.05178998
GardenRoots,mg/kg,"34.63,-112.09",centroid,beryllium,,2011-01-01,Leafy,0.015368
GardenRoots,mg/kg,"34.63,-112.09",centroid,cadmium,,2011-01-01,Leafy,0.105
GardenRoots,mg/kg,"34.63,-112.09",centroid,chromium,,2011-01-01,Leafy,0.45
GardenRoots,mg/kg,"34.63,-112.09",centroid,manganese,,2011-01-01,Leafy,111.5198837
GardenRoots,mg/kg,"34.63,-112.09",centroid,nickel,,2011-01-01,Leafy,0.392
GardenRoots,mg/kg,"34.63,-112.09",centroid,lead,,2011-01-01,Leafy,0.16
GardenRoots,mg/kg,"34.63,-112.09",centroid,zinc,,2011-01-01,Leafy,28.13202566
GardenRoots,mg/kg,"34.63,-112.09",centroid,copper,,2011-01-01,Leafy,7.846151551
GardenRoots,mg/kg,"34.63,-112.09",centroid,arsenic,,2011-01-01,Fruiting Vegetables,0.418739
GardenRoots,mg/kg,"34.63,-112.09",centroid,barium,,2011-01-01,Fruiting Vegetables,0.478387
GardenRoots,mg/kg,"34.63,-112.09",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.015368
GardenRoots,mg/kg,"34.63,-112.09",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.020867
GardenRoots,mg/kg,"34.63,-112.09",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.449837
GardenRoots,mg/kg,"34.63,-112.09",centroid,manganese,,2011-01-01,Fruiting Vegetables,13.255605
GardenRoots,mg/kg,"34.63,-112.09",centroid,nickel,,2011-01-01,Fruiting Vegetables,1.660515
GardenRoots,mg/kg,"34.63,-112.09",centroid,lead,,2011-01-01,Fruiting Vegetables,0.84207
GardenRoots,mg/kg,"34.63,-112.09",centroid,zinc,,2011-01-01,Fruiting Vegetables,48.565155
GardenRoots,mg/kg,"34.63,-112.09",centroid,copper,,2011-01-01,Fruiting Vegetables,11.16111
GardenRoots,mg/kg,"34.63,-112.09",centroid,arsenic,,2011-01-01,Fruits,0.419
GardenRoots,mg/kg,"34.63,-112.09",centroid,barium,,2011-01-01,Fruits,6.453294728
GardenRoots,mg/kg,"34.63,-112.09",centroid,beryllium,,2011-01-01,Fruits,0.015368
GardenRoots,mg/kg,"34.63,-112.09",centroid,cadmium,,2011-01-01,Fruits,0.0209
GardenRoots,mg/kg,"34.63,-112.09",centroid,chromium,,2011-01-01,Fruits,0.45
GardenRoots,mg/kg,"34.63,-112.09",centroid,manganese,,2011-01-01,Fruits,20.67141074
GardenRoots,mg/kg,"34.63,-112.09",centroid,nickel,,2011-01-01,Fruits,9.201352835
GardenRoots,mg/kg,"34.63,-112.09",centroid,lead,,2011-01-01,Fruits,4.236960863
GardenRoots,mg/kg,"34.63,-112.09",centroid,zinc,,2011-01-01,Fruits,8.308840855
GardenRoots,mg/kg,"34.63,-112.09",centroid,copper,,2011-01-01,Fruits,6.020996406
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Leafy,0.418739
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Leafy,58.44460755
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Leafy,0.0154
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Leafy,0.0323
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Leafy,0.45
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Leafy,14.5832834
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Leafy,0.392
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Leafy,0.0196
GardenRoots,mg/kg,"34.45,-111.98",centroid,zinc,,2011-01-01,Leafy,52.47124026
GardenRoots,mg/kg,"34.45,-111.98",centroid,copper,,2011-01-01,Leafy,8.589364889
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Brassica Vegetables,0.5751
