source,unit,location_name,location_type,variable_name,variable_desc,collected_on,value,medium
CO School of Mines,,UPPER_REFERENCE,station,ZAITZE,Coleoptera Elmidae Zaitzevia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,HYDRAC,Trombidiformes,2011-11-15 07:00:00,2.6,water
CO School of Mines,,UPPER_REFERENCE,station,DYTISC,Coleoptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,OLIGOC,Oligochaeta (subclass),2011-11-15 07:00:00,3.8,water
CO School of Mines,,UPPER_REFERENCE,station,POLYCE,Tricladida Planariidae Polycelis,2011-11-15 07:00:00,2.0,water
CO School of Mines,,UPPER_REFERENCE,station,NEMATO,Nematoda (phylum),2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,COLLUM,Collembola (subclass),2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,ISOPOD,Isopoda,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,PETROPH,Lepidoptera Crambidae Petrophila,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,Total,Total number of individuals per replicate,2011-11-15 07:00:00,1103.0,water
CO School of Mines,,UPPER_REFERENCE,station,Taxa,Number of taxa per replicate,2011-11-15 07:00:00,21.6,water
CO School of Mines,,UPPER_REFERENCE,station,EPT Total,Total Ephemeroptera+Plecoptera+Trichoptera per replicate,2011-11-15 07:00:00,928.2,water
CO School of Mines,,UPPER_REFERENCE,station,EPT Rich,Total Number of Ephemeroptera+Plecoptera+Trichoptera taxa per replicate,2011-11-15 07:00:00,15.2,water
CO School of Mines,,UPPER_REFERENCE,station,Avg Total ,Avg Total number of individuals per site,2011-11-15 07:00:00,1103.0,water
CO School of Mines,,UPPER_REFERENCE,station,Avg Taxa Rich,Avg Number of taxa per site,2011-11-15 07:00:00,22.0,water
CO School of Mines,,UPPER_REFERENCE,station,Avg EPT Total,Avg Total Ephemeroptera+Plecoptera+Trichoptera per site,2011-11-15 07:00:00,928.0,water
CO School of Mines,,UPPER_REFERENCE,station,Avg EPT Rich,Avg Number of Ephemeroptera+Plecoptera+Trichoptera taxa per site,2011-11-15 07:00:00,15.0,water
CO School of Mines,,PUMPHOUSE,station,ACENTR,Ephemeroptera Baetidae Acentrella,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,BAETIS,Ephemeroptera Baetidae Baetis,2011-11-15 07:00:00,193.2,water
CO School of Mines,,PUMPHOUSE,station,DIPHAG,Ephemeroptera Baetidae Diphetor,2011-11-15 07:00:00,0.6,water
CO School of Mines,,PUMPHOUSE,station,DRUDOD,Ephemeroptera Ephemerellidae Drunella,2011-11-15 07:00:00,0.4,water
CO School of Mines,,PUMPHOUSE,station,DRUGRACOL,Ephemeroptera Ephemerellidae Drunella,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,EPHEM,Ephemeroptera Ephemerellidae Ephemerella,2011-11-15 07:00:00,12.4,water
CO School of Mines,,PUMPHOUSE,station,SERRAT,Ephemeroptera Ephemerellidae Serratella,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,CINYGM,Ephemeroptera Heptageniidae Cinygmula,2011-11-15 07:00:00,2.2,water
CO School of Mines,,PUMPHOUSE,station,EPEORUS,Ephemeroptera Heptageniidae Epeorus,2011-11-15 07:00:00,4.8,water
CO School of Mines,,PUMPHOUSE,station,RHITHR,Ephemeroptera Heptageniidae Rhithrogena,2011-11-15 07:00:00,4.4,water
CO School of Mines,,PUMPHOUSE,station,PARALE,Ephemeroptera Leptophlebiidae Paraleptophlebia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,AMELT,Ephemeroptera Ameletidae Ameletus,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,HEPTAG,Ephemeroptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,AMPHIN,Plecoptera Nemouridae Amphinermura,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,CAPNIA,Plecoptera Capniidae Capnia,2011-11-15 07:00:00,27.4,water
CO School of Mines,,PUMPHOUSE,station,PRO/POD,Plecoptera Nemouridae Prostoia/Podmosta,2011-11-15 07:00:00,193.2,water
CO School of Mines,,PUMPHOUSE,station,ZAPADA,Plecoptera Nemouridae Zapada,2011-11-15 07:00:00,6.0,water
CO School of Mines,,PUMPHOUSE,station,TAENIO,Plecoptera Taeniopterygidae Taenionema,2011-11-15 07:00:00,68.2,water
CO School of Mines,,PUMPHOUSE,station,ALLOPE,Plecoptera Chloroperlidae Alloperla,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,SUWALL,Plecoptera Chloroperlidae Suwallia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,SWELTSA,Plecoptera Chloroperlidae Sweltsa,2011-11-15 07:00:00,5.4,water
CO School of Mines,,PUMPHOUSE,station,CLAASS,Plecoptera Perlidae Claassenia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,SKWALA,Plecoptera Perlodidae Skwala,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,HESPERO,Plecoptera Perlidae Hesperoperla,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,CHLORO,Plecoptera,2011-11-15 07:00:00,17.8,water
CO School of Mines,,PUMPHOUSE,station,ISOPERLA,Plecoptera Perlodidae Isoperla,2011-11-15 07:00:00,4.0,water
CO School of Mines,,PUMPHOUSE,station,TRISIG,Plecoptera Chloroperlidae Triznaka,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,PARALEU,Plecoptera Leuctridae Paraleuctra,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,LEUCSP,Plecoptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,PERLOD,Plecoptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,EUCAPN,Plecoptera Capniidae Eucapnopsis,2011-11-15 07:00:00,5.6,water
CO School of Mines,,PUMPHOUSE,station,MEGSIG,Plecoptera Perlodidae Megarcys,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,DIUKNO,Plecoptera Perlodidae Diura,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,DODSII,Plecoptera Taeniopterygidae Doddsia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,UTACAP,Plecoptera Capniidae Utacapnia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,BRACHY,Trichoptera Brachycentridae Brachycentrus,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,MICRAS,Trichoptera Brachycentridae Micrasema,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,ARCGRA,Trichoptera Hydropsychidae Arctopsyche,2011-11-15 07:00:00,1.0,water
CO School of Mines,,PUMPHOUSE,station,HYDROPS,Trichoptera Hydropsychidae Hydropsyche,2011-11-15 07:00:00,0.8,water
CO School of Mines,,PUMPHOUSE,station,LEPIDO,Trichoptera Lepidostomatidae Lepidostoma,2011-11-15 07:00:00,0.8,water
CO School of Mines,,PUMPHOUSE,station,GLOSSO,Trichoptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,RHYACOP,Trichoptera Rhyacophilidae Rhyacophila,2011-11-15 07:00:00,52.4,water
CO School of Mines,,PUMPHOUSE,station,ALLOYM,Trichoptera Apataniidae Allomyia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,NEOTRH,Trichoptera Uenoidae Neothremma,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,HYDROPT,Trichoptera Hydroptilidae Hydroptila,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,LIMNEPH,Trichoptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,CHIRON,Diptera Chironomidae Chironomini (tribe),2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,TANYTA,Diptera Chironomidae Tanytarsini (tribe),2011-11-15 07:00:00,47.2,water
CO School of Mines,,PUMPHOUSE,station,ORTHOC,Diptera Chironomidae Orthocladiinae (subfamily),2011-11-15 07:00:00,14.4,water
CO School of Mines,,PUMPHOUSE,station,TANYPO,Diptera Chironomidae Tanypodinae (subfamily),2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,DIAMES,Diptera Chironomidae Diamesinae (subfamily),2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,CHIROD,Diptera,2011-11-15 07:00:00,23.8,water
CO School of Mines,,PUMPHOUSE,station,ATHERIX,Diptera Athericidae Atherix,2011-11-15 07:00:00,0.0,water
