top5_labid,siteid,stateid,latitude,longitude,colldate,landcover1,landcover2,top5_depth,top5_quartz,top5_tot_k_fs,top5_tot_plag,top5_tot_flds,top5_tot_14a,top5_tot_10a,top5_kaolinit,top5_tot_clay,top5_gibbsite,top5_calcite,top5_dolomite,top5_aragon,top5_tot_carb,top5_analcime,top5_heuland,top5_tot_zeol,top5_gypsum,top5_talc,top5_hornbl,top5_serpent,top5_hematite,top5_goethite,top5_pyroxene,top5_pyrite,top5_other,top5_amorph,top5_ag,top5_al,top5_as,top5_ba,top5_be,top5_bi,top5_c_tot,top5_c_inorg,top5_c_org,top5_ca,top5_cd,top5_ce,top5_co,top5_cr,top5_cs,top5_cu,top5_fe,top5_ga,top5_hg,top5_in,top5_k,top5_la,top5_li,top5_mg,top5_mn,top5_mo,top5_na,top5_nb,top5_ni,top5_p,top5_pb,top5_rb,top5_s,top5_sb,top5_sc,top5_se,top5_sn,top5_sr,top5_te,top5_th,top5_ti,top5_tl,top5_u,top5_v,top5_w,top5_y,top5_zn,geoid,geoid_type
C-319307,6939,CO,40.3775,-103.5822,06/25/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.38,1.6,749,1.5,0.11,,,,0.83,0.1,55.8,2.9,9,<5,6.3,1.19,15.7,<0.01,<0.02,2.56,30.3,9,0.23,225,0.44,1.69,10.8,3.9,350,19.6,111,0.01,0.21,3,<0.2,1,209,<0.1,8.1,0.16,0.6,1.7,24,0.5,14.5,28,NA,block_group
C-319348,7083,CO,39.1409,-104.2472,06/07/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.12,1.1,643,1.1,0.08,,,,0.22,0.1,52.2,2,4,<5,6.7,0.54,11.2,<0.01,<0.02,2.7,24.8,7,0.08,127,0.41,0.86,6,2.7,190,26,114,0.01,0.11,2.1,<0.2,0.7,97.9,<0.1,9.9,0.09,0.6,1.9,11,0.5,10.5,21,NA,block_group
C-319449,7227,CO,37.7598,-103.2436,06/17/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.28,5.5,490,1.3,0.22,,,,1.73,0.3,53.2,7,18,<5,14.4,1.79,11.4,0.01,0.04,1.55,27.1,22,0.62,330,1.25,0.38,10.3,12.3,620,17,67.9,0.02,0.77,5.5,0.3,17.8,147,<0.1,10.6,0.2,0.5,2.3,51,0.9,15.9,50,NA,block_group
C-319500,7387,CO,38.3597,-107.0984,09/29/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.27,4.1,1080,1.7,0.23,,,,1.01,0.4,73.3,10.7,43,<5,40.4,3.1,16.1,<0.01,0.06,2.23,31.2,29,0.82,965,1.91,1.99,9.9,11.8,1230,23.4,75.6,0.06,0.71,12.4,<0.2,1.4,166,<0.1,6.6,0.3,0.4,1.9,65,0.9,22.5,99,NA,block_group
C-319352,7403,CO,38.7436,-103.1265,06/21/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.58,1.7,691,0.9,0.09,,,,0.21,<0.1,66.6,2.2,5,<5,6.5,0.63,9.46,<0.01,<0.02,2.8,33.3,6,0.1,149,0.34,0.74,7.2,3.2,280,24.7,110,0.01,0.23,1.8,<0.2,0.7,104,<0.1,12.6,0.11,0.6,2,15,0.5,12.5,20,NA,block_group
C-319497,7419,CO,40.0642,-108.3114,08/10/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.46,6.4,964,1.6,0.16,,,,8.89,0.2,53,9.1,50,<5,13.4,1.94,12.9,0.01,0.03,2.6,26,32,1.21,737,0.6,1.41,9.1,13.9,760,15.7,89.9,0.03,0.42,6.9,<0.2,1.2,558,<0.1,9.5,0.2,0.5,2.1,44,0.6,13.7,44,NA,block_group
C-319318,7467,CO,36.999,-106.2196,06/14/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.99,3.5,826,1.5,0.23,,,,1.03,0.3,77.3,13,29,<5,30,2.48,18,0.02,0.03,2.19,38.6,19,0.48,819,1.63,1.39,15,14.5,740,22.4,105,0.05,0.56,6.2,0.2,1.4,330,<0.1,11.2,0.37,0.5,2.8,54,1.4,17.2,72,NA,block_group
C-319346,7595,CO,38.5831,-102.8976,06/21/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.89,2.1,733,0.9,0.54,,,,0.29,0.1,51.7,2.8,7,<5,6.7,0.82,10.1,0.01,<0.02,2.56,26.2,7,0.15,206,0.67,0.78,7.7,4.5,310,22.9,105,0.01,0.26,2.2,<0.2,0.6,121,<0.1,9,0.13,0.6,1.7,19,2.5,10.9,26,NA,block_group
C-319428,7659,CO,37.7762,-105.0746,06/09/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.51,3,557,1.4,0.17,,,,2.26,0.1,42.9,9,17,<5,9.5,2.28,12.5,<0.01,0.03,1.71,21,16,0.63,466,1.05,0.99,8.9,10.5,510,13.4,57.7,0.02,0.39,7.2,<0.2,1.4,182,<0.1,5.6,0.25,0.3,2,60,1,17.4,47,NA,block_group
C-319450,7835,CO,38.4163,-108.3818,09/29/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.42,7.1,735,1.6,0.31,,,,0.57,0.4,97.1,11.7,25,6,20.8,2.61,17.1,0.02,0.06,1.87,47.5,27,0.47,549,1.45,0.78,16.8,14,640,31.8,112,0.03,1.12,7.4,0.2,15.4,165,<0.1,15.1,0.32,0.7,4.1,69,1.5,27.8,74,NA,block_group
C-319323,7851,CO,38.9771,-105.008,06/06/08,Forested Upland,Evergreen Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.5,5.8,1050,2.5,0.5,,,,1.06,1.2,102,7.5,20,<5,16.7,2.29,19.9,0.1,0.12,2.53,44.7,23,0.4,2550,1.71,1.13,37.1,10.7,720,80.9,143,0.06,0.65,6.3,0.5,3.2,158,0.4,16.6,0.31,0.7,2.9,34,1.4,30.9,136,NA,block_group
C-319436,8091,CO,39.676,-107.5349,08/13/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.06,11.6,545,2.5,0.3,,,,1.29,1,72.1,11.7,48,6,25.2,2.59,14.4,0.04,0.05,2.4,35,39,0.74,1230,3.08,0.46,10.5,22.1,1350,33.4,96.8,0.06,0.75,8.3,0.5,1.7,80.5,<0.1,10.8,0.25,0.9,3.7,62,6.6,24.4,123,NA,block_group
C-319471,8107,CO,39.9565,-104.4443,06/26/08,Planted/Cultivated,Small Grains,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.97,5.6,712,1.4,0.15,,,,0.59,0.2,76.6,6.4,24,<5,11.8,1.69,12.4,0.02,0.04,2.52,38.5,17,0.43,312,0.73,0.78,12,11.6,460,23.7,100,0.01,0.52,5.4,<0.2,2.5,146,<0.1,15.2,0.21,0.6,2.9,48,1,16.4,45,NA,block_group
C-319498,8251,CO,37.3337,-103.8112,06/13/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.51,5.8,622,1.5,0.27,,,,3.26,0.3,80.6,8.2,37,<5,17.1,2.21,13.7,0.02,0.05,1.54,37.6,29,0.65,433,1.8,0.73,11.4,13.5,740,20.4,69.1,0.05,0.77,7.3,0.4,1.7,213,<0.1,11.2,0.25,0.5,2.5,68,1,20.1,55,NA,block_group
C-319499,8363,CO,39.259,-102.7706,06/22/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.68,2.2,824,1.3,0.16,,,,0.57,0.3,71.8,4.9,26,<5,8.5,1.35,12.2,0.02,0.03,2.37,34.3,14,0.3,303,0.75,1,9.5,8.7,500,22.1,102,0.02,0.41,5,<0.2,1.1,168,<0.1,9.5,0.17,0.6,1.8,37,0.6,15.9,37,NA,block_group
C-319453,8411,CO,39.914,-106.5615,08/13/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.78,11.1,467,2,0.52,,,,0.69,1.1,92.6,16.3,40,8,27.9,2.6,18.1,0.02,0.07,1.67,43.5,34,0.65,549,4.51,0.54,17.4,40.1,900,30.9,104,0.07,1.28,7.6,0.6,5.6,164,<0.1,20.3,0.27,1,5.3,85,1.8,30,117,NA,block_group
C-319476,8427,CO,38.9389,-104.809,06/06/08,Developed,Low Intensity Residential,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4,2.2,841,1.2,0.12,,,,0.19,0.6,50.3,1.9,9,<5,6.8,0.58,10.7,0.02,0.04,3.99,24.1,10,0.09,174,0.61,0.24,17.6,2.5,310,41.8,150,0.04,0.28,2.2,<0.2,2.3,82,<0.1,8.8,0.12,0.7,1.8,13,0.6,18.6,45,NA,block_group
