source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
USGS,mg/kg,"35.4173,-113.2629",point,li,Concentration of li,2013-09-18,soil,27.0
USGS,wt. %,"35.4173,-113.2629",point,mg,Concentration of mg,2013-09-18,soil,0.73
USGS,mg/kg,"35.4173,-113.2629",point,mn,Concentration of mn,2013-09-18,soil,308.0
USGS,mg/kg,"35.4173,-113.2629",point,mo,Concentration of mo,2013-09-18,soil,0.59
USGS,wt. %,"35.4173,-113.2629",point,na,Concentration of na,2013-09-18,soil,0.33
USGS,mg/kg,"35.4173,-113.2629",point,nb,Concentration of nb,2013-09-18,soil,9.0
USGS,mg/kg,"35.4173,-113.2629",point,ni,Concentration of ni,2013-09-18,soil,19.4
USGS,mg/kg,"35.4173,-113.2629",point,p,Concentration of p,2013-09-18,soil,460.0
USGS,mg/kg,"35.4173,-113.2629",point,pb,Concentration of pb,2013-09-18,soil,14.5
USGS,mg/kg,"35.4173,-113.2629",point,rb,Concentration of rb,2013-09-18,soil,67.4
USGS,wt. %,"35.4173,-113.2629",point,s,Concentration of s,2013-09-18,soil,0.03
USGS,mg/kg,"35.4173,-113.2629",point,sb,Concentration of sb,2013-09-18,soil,0.64
USGS,mg/kg,"35.4173,-113.2629",point,sc,Concentration of sc,2013-09-18,soil,6.4
USGS,mg/kg,"35.4173,-113.2629",point,se,Concentration of se,2013-09-18,soil,0.2
USGS,mg/kg,"35.4173,-113.2629",point,sn,Concentration of sn,2013-09-18,soil,1.3
USGS,mg/kg,"35.4173,-113.2629",point,sr,Concentration of sr,2013-09-18,soil,86.7
USGS,mg/kg,"35.4173,-113.2629",point,th,Concentration of th,2013-09-18,soil,9.3
USGS,wt. %,"35.4173,-113.2629",point,ti,Concentration of ti,2013-09-18,soil,0.23
USGS,mg/kg,"35.4173,-113.2629",point,tl,Concentration of tl,2013-09-18,soil,0.4
USGS,mg/kg,"35.4173,-113.2629",point,u,Concentration of u,2013-09-18,soil,1.7
USGS,mg/kg,"35.4173,-113.2629",point,v,Concentration of v,2013-09-18,soil,43.0
USGS,mg/kg,"35.4173,-113.2629",point,w,Concentration of w,2013-09-18,soil,1.0
USGS,mg/kg,"35.4173,-113.2629",point,y,Concentration of y,2013-09-18,soil,16.6
USGS,mg/kg,"35.4173,-113.2629",point,zn,Concentration of zn,2013-09-18,soil,54.0
USGS,wt. %,"33.6922,-109.137",point,al,Concentration of al,2013-09-18,soil,9.0
USGS,mg/kg,"33.6922,-109.137",point,as,Concentration of as,2013-09-18,soil,2.4
USGS,mg/kg,"33.6922,-109.137",point,ba,Concentration of ba,2013-09-18,soil,674.0
USGS,mg/kg,"33.6922,-109.137",point,be,Concentration of be,2013-09-18,soil,1.0
USGS,mg/kg,"33.6922,-109.137",point,bi,Concentration of bi,2013-09-18,soil,0.16
USGS,wt. %,"33.6922,-109.137",point,ca,Concentration of ca,2013-09-18,soil,4.16
USGS,mg/kg,"33.6922,-109.137",point,cd,Concentration of cd,2013-09-18,soil,0.2
USGS,mg/kg,"33.6922,-109.137",point,ce,Concentration of ce,2013-09-18,soil,44.0
USGS,mg/kg,"33.6922,-109.137",point,co,Concentration of co,2013-09-18,soil,27.5
USGS,mg/kg,"33.6922,-109.137",point,cr,Concentration of cr,2013-09-18,soil,18.0
USGS,mg/kg,"33.6922,-109.137",point,cu,Concentration of cu,2013-09-18,soil,42.9
USGS,wt. %,"33.6922,-109.137",point,fe,Concentration of fe,2013-09-18,soil,5.39
USGS,mg/kg,"33.6922,-109.137",point,ga,Concentration of ga,2013-09-18,soil,20.7
USGS,mg/kg,"33.6922,-109.137",point,hg,Concentration of hg,2013-09-18,soil,0.02
USGS,mg/kg,"33.6922,-109.137",point,in,Concentration of in,2013-09-18,soil,0.06
USGS,wt. %,"33.6922,-109.137",point,k,Concentration of k,2013-09-18,soil,1.46
USGS,mg/kg,"33.6922,-109.137",point,la,Concentration of la,2013-09-18,soil,21.2
USGS,mg/kg,"33.6922,-109.137",point,li,Concentration of li,2013-09-18,soil,13.0
USGS,wt. %,"33.6922,-109.137",point,mg,Concentration of mg,2013-09-18,soil,1.5
USGS,mg/kg,"33.6922,-109.137",point,mn,Concentration of mn,2013-09-18,soil,930.0
USGS,mg/kg,"33.6922,-109.137",point,mo,Concentration of mo,2013-09-18,soil,0.35
USGS,wt. %,"33.6922,-109.137",point,na,Concentration of na,2013-09-18,soil,2.4
USGS,mg/kg,"33.6922,-109.137",point,nb,Concentration of nb,2013-09-18,soil,5.6
USGS,mg/kg,"33.6922,-109.137",point,ni,Concentration of ni,2013-09-18,soil,17.6
USGS,mg/kg,"33.6922,-109.137",point,p,Concentration of p,2013-09-18,soil,1000.0
USGS,mg/kg,"33.6922,-109.137",point,pb,Concentration of pb,2013-09-18,soil,13.2
USGS,mg/kg,"33.6922,-109.137",point,rb,Concentration of rb,2013-09-18,soil,31.7
USGS,wt. %,"33.6922,-109.137",point,s,Concentration of s,2013-09-18,soil,0.03
USGS,mg/kg,"33.6922,-109.137",point,sb,Concentration of sb,2013-09-18,soil,0.22
USGS,mg/kg,"33.6922,-109.137",point,sc,Concentration of sc,2013-09-18,soil,14.0
USGS,mg/kg,"33.6922,-109.137",point,sn,Concentration of sn,2013-09-18,soil,1.2
USGS,mg/kg,"33.6922,-109.137",point,sr,Concentration of sr,2013-09-18,soil,789.0
USGS,mg/kg,"33.6922,-109.137",point,th,Concentration of th,2013-09-18,soil,3.1
USGS,wt. %,"33.6922,-109.137",point,ti,Concentration of ti,2013-09-18,soil,0.49
USGS,mg/kg,"33.6922,-109.137",point,u,Concentration of u,2013-09-18,soil,0.7
USGS,mg/kg,"33.6922,-109.137",point,v,Concentration of v,2013-09-18,soil,138.0
USGS,mg/kg,"33.6922,-109.137",point,w,Concentration of w,2013-09-18,soil,0.4
USGS,mg/kg,"33.6922,-109.137",point,y,Concentration of y,2013-09-18,soil,19.6
USGS,mg/kg,"33.6922,-109.137",point,zn,Concentration of zn,2013-09-18,soil,90.0
USGS,wt. %,"34.65,-113.3945",point,al,Concentration of al,2013-09-18,soil,6.93
USGS,mg/kg,"34.65,-113.3945",point,as,Concentration of as,2013-09-18,soil,5.4
USGS,mg/kg,"34.65,-113.3945",point,ba,Concentration of ba,2013-09-18,soil,771.0
USGS,mg/kg,"34.65,-113.3945",point,be,Concentration of be,2013-09-18,soil,6.3
USGS,mg/kg,"34.65,-113.3945",point,bi,Concentration of bi,2013-09-18,soil,0.24
USGS,wt. %,"34.65,-113.3945",point,ca,Concentration of ca,2013-09-18,soil,0.89
USGS,mg/kg,"34.65,-113.3945",point,cd,Concentration of cd,2013-09-18,soil,0.2
USGS,mg/kg,"34.65,-113.3945",point,ce,Concentration of ce,2013-09-18,soil,159.0
USGS,mg/kg,"34.65,-113.3945",point,co,Concentration of co,2013-09-18,soil,16.5
USGS,mg/kg,"34.65,-113.3945",point,cr,Concentration of cr,2013-09-18,soil,72.0
USGS,mg/kg,"34.65,-113.3945",point,cs,Concentration of cs,2013-09-18,soil,13.0
USGS,mg/kg,"34.65,-113.3945",point,cu,Concentration of cu,2013-09-18,soil,34.6
USGS,wt. %,"34.65,-113.3945",point,fe,Concentration of fe,2013-09-18,soil,4.46
USGS,mg/kg,"34.65,-113.3945",point,ga,Concentration of ga,2013-09-18,soil,22.1
USGS,mg/kg,"34.65,-113.3945",point,hg,Concentration of hg,2013-09-18,soil,0.22
USGS,mg/kg,"34.65,-113.3945",point,in,Concentration of in,2013-09-18,soil,0.07
USGS,wt. %,"34.65,-113.3945",point,k,Concentration of k,2013-09-18,soil,3.23
USGS,mg/kg,"34.65,-113.3945",point,la,Concentration of la,2013-09-18,soil,77.5
USGS,mg/kg,"34.65,-113.3945",point,li,Concentration of li,2013-09-18,soil,25.0
USGS,wt. %,"34.65,-113.3945",point,mg,Concentration of mg,2013-09-18,soil,0.96
USGS,mg/kg,"34.65,-113.3945",point,mn,Concentration of mn,2013-09-18,soil,652.0
USGS,mg/kg,"34.65,-113.3945",point,mo,Concentration of mo,2013-09-18,soil,1.06
USGS,wt. %,"34.65,-113.3945",point,na,Concentration of na,2013-09-18,soil,1.24
USGS,mg/kg,"34.65,-113.3945",point,nb,Concentration of nb,2013-09-18,soil,24.1
USGS,mg/kg,"34.65,-113.3945",point,ni,Concentration of ni,2013-09-18,soil,33.8
USGS,mg/kg,"34.65,-113.3945",point,p,Concentration of p,2013-09-18,soil,500.0
USGS,mg/kg,"34.65,-113.3945",point,pb,Concentration of pb,2013-09-18,soil,48.0
USGS,mg/kg,"34.65,-113.3945",point,rb,Concentration of rb,2013-09-18,soil,181.0
USGS,wt. %,"34.65,-113.3945",point,s,Concentration of s,2013-09-18,soil,0.01
USGS,mg/kg,"34.65,-113.3945",point,sb,Concentration of sb,2013-09-18,soil,0.65
USGS,mg/kg,"34.65,-113.3945",point,sc,Concentration of sc,2013-09-18,soil,15.2
USGS,mg/kg,"34.65,-113.3945",point,sn,Concentration of sn,2013-09-18,soil,3.1
USGS,mg/kg,"34.65,-113.3945",point,sr,Concentration of sr,2013-09-18,soil,163.0
USGS,mg/kg,"34.65,-113.3945",point,th,Concentration of th,2013-09-18,soil,49.2
USGS,wt. %,"34.65,-113.3945",point,ti,Concentration of ti,2013-09-18,soil,0.37
USGS,mg/kg,"34.65,-113.3945",point,tl,Concentration of tl,2013-09-18,soil,1.3
USGS,mg/kg,"34.65,-113.3945",point,u,Concentration of u,2013-09-18,soil,3.8
USGS,mg/kg,"34.65,-113.3945",point,v,Concentration of v,2013-09-18,soil,78.0
USGS,mg/kg,"34.65,-113.3945",point,w,Concentration of w,2013-09-18,soil,3.0
USGS,mg/kg,"34.65,-113.3945",point,y,Concentration of y,2013-09-18,soil,21.8
USGS,mg/kg,"34.65,-113.3945",point,zn,Concentration of zn,2013-09-18,soil,100.0
USGS,wt. %,"36.0545,-114.046",point,al,Concentration of al,2013-09-18,soil,5.34
USGS,mg/kg,"36.0545,-114.046",point,as,Concentration of as,2013-09-18,soil,5.0
USGS,mg/kg,"36.0545,-114.046",point,ba,Concentration of ba,2013-09-18,soil,626.0
USGS,mg/kg,"36.0545,-114.046",point,be,Concentration of be,2013-09-18,soil,2.1
USGS,mg/kg,"36.0545,-114.046",point,bi,Concentration of bi,2013-09-18,soil,0.24
USGS,wt. %,"36.0545,-114.046",point,ca,Concentration of ca,2013-09-18,soil,2.28
USGS,mg/kg,"36.0545,-114.046",point,cd,Concentration of cd,2013-09-18,soil,0.1
USGS,mg/kg,"36.0545,-114.046",point,ce,Concentration of ce,2013-09-18,soil,121.0
USGS,mg/kg,"36.0545,-114.046",point,co,Concentration of co,2013-09-18,soil,8.7
USGS,mg/kg,"36.0545,-114.046",point,cr,Concentration of cr,2013-09-18,soil,32.0
USGS,mg/kg,"36.0545,-114.046",point,cs,Concentration of cs,2013-09-18,soil,6.0
USGS,mg/kg,"36.0545,-114.046",point,cu,Concentration of cu,2013-09-18,soil,14.2
USGS,wt. %,"36.0545,-114.046",point,fe,Concentration of fe,2013-09-18,soil,2.39
USGS,mg/kg,"36.0545,-114.046",point,ga,Concentration of ga,2013-09-18,soil,16.6
USGS,mg/kg,"36.0545,-114.046",point,hg,Concentration of hg,2013-09-18,soil,0.02
USGS,mg/kg,"36.0545,-114.046",point,in,Concentration of in,2013-09-18,soil,0.05
USGS,wt. %,"36.0545,-114.046",point,k,Concentration of k,2013-09-18,soil,2.32
USGS,mg/kg,"36.0545,-114.046",point,la,Concentration of la,2013-09-18,soil,59.3
USGS,mg/kg,"36.0545,-114.046",point,li,Concentration of li,2013-09-18,soil,20.0
USGS,wt. %,"36.0545,-114.046",point,mg,Concentration of mg,2013-09-18,soil,0.77
USGS,mg/kg,"36.0545,-114.046",point,mn,Concentration of mn,2013-09-18,soil,433.0
USGS,mg/kg,"36.0545,-114.046",point,mo,Concentration of mo,2013-09-18,soil,1.0
USGS,wt. %,"36.0545,-114.046",point,na,Concentration of na,2013-09-18,soil,1.29
USGS,mg/kg,"36.0545,-114.046",point,nb,Concentration of nb,2013-09-18,soil,19.9
USGS,mg/kg,"36.0545,-114.046",point,ni,Concentration of ni,2013-09-18,soil,15.2
USGS,mg/kg,"36.0545,-114.046",point,p,Concentration of p,2013-09-18,soil,510.0
USGS,mg/kg,"36.0545,-114.046",point,pb,Concentration of pb,2013-09-18,soil,24.8
USGS,mg/kg,"36.0545,-114.046",point,rb,Concentration of rb,2013-09-18,soil,112.0
USGS,wt. %,"36.0545,-114.046",point,s,Concentration of s,2013-09-18,soil,0.01
USGS,mg/kg,"36.0545,-114.046",point,sb,Concentration of sb,2013-09-18,soil,0.55
USGS,mg/kg,"36.0545,-114.046",point,sc,Concentration of sc,2013-09-18,soil,7.5
USGS,mg/kg,"36.0545,-114.046",point,sn,Concentration of sn,2013-09-18,soil,2.7
