contaminant,type,sample_type,agency_name,value,units,color,sampling_year,community 
arsenic,Limit,,Lower Limit of Detection,2.00E-02,&mu;g/L,#f4cb66,2019-2020,Superior
barium,Limit,,Lower Limit of Detection,6.00E-02,&mu;g/L,#f4cb66,2019-2020,Superior
beryllium,Limit,,Lower Limit of Detection,1.00E-02,&mu;g/L,#f4cb66,2019-2020,Superior
cadmium,Limit,,Lower Limit of Detection,2.00E-02,&mu;g/L,#f4cb66,2019-2020,Superior
chromium,Limit,,Lower Limit of Detection,5.00E-01,&mu;g/L,#f4cb66,2019-2020,Superior
manganese,Limit,,Lower Limit of Detection,1.00E-02,&mu;g/L,#f4cb66,2019-2020,Superior
nickel,Limit,,Lower Limit of Detection,2.00E-02,&mu;g/L,#f4cb66,2019-2020,Superior
lead,Limit,,Lower Limit of Detection,2.00E-02,&mu;g/L,#f4cb66,2019-2020,Superior
zinc,Limit,,Lower Limit of Detection,1.20E-01,&mu;g/L,#f4cb66,2019-2020,Superior
copper,Limit,,Lower Limit of Detection,2.00E-02,&mu;g/L,#f4cb66,2019-2020,Superior
iron,Limit,,Lower Limit of Detection,4.40E-01,&mu;g/L,#f4cb67,2019-2020,Superior
