sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,aluminum,aluminumRaw,aluminumIdentifier,arsenic,arsenicRaw,arsenicIdentifier,barium,bariumRaw,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier,geoid,geoid_type
C21,C-K-21 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,14310,14308.969,Post-Transition Metal,18.75,18.749958,Metalloid,681.8,681.82132,Alkaline Earth Metal,1.0994452,1.099,Alkaline Earth Metal,6.891868,6.892,Transitional Metal,37.742406,37.74,Transitional Metal,1367.3015,1367,Transitional Metal,19.472319,19.47,Transitional Metal,234.72922,234.7,Post-Transition Metal,1625.663,1626,Transitional Metal,683.62946,683.6,Transitional Metal,040030011003,block_group
C22,C-K-22 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,8620,8619.554,Post-Transition Metal,4.344,4.3435173,Metalloid,127.6,127.55219,Alkaline Earth Metal,0.5194302,0.5194,Alkaline Earth Metal,0.3547826,0.3548,Transitional Metal,23.722599,23.72,Transitional Metal,375.38156,375.4,Transitional Metal,9.0129113,9.013,Transitional Metal,16.961808,16.96,Post-Transition Metal,121.3143,121.3,Transitional Metal,48.297246,48.3,Transitional Metal,040030021002,block_group
C22,C-K-22 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,10820,10823.708,Post-Transition Metal,6.469,6.4685888,Metalloid,131.7,131.65395,Alkaline Earth Metal,0.8083552,0.8084,Alkaline Earth Metal,0.4366146,0.4366,Transitional Metal,25.145814,25.15,Transitional Metal,551.69608,551.7,Transitional Metal,11.102134,11.1,Transitional Metal,34.478809,34.48,Post-Transition Metal,69.486249,69.49,Transitional Metal,41.429833,41.43,Transitional Metal,040030021002,block_group
C23,C-K-23 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,6973,6972.8553,Post-Transition Metal,5.829,5.8285197,Metalloid,128,127.95329,Alkaline Earth Metal,0.5780515,0.5781,Alkaline Earth Metal,0.5093685,0.5094,Transitional Metal,30.741054,30.74,Transitional Metal,353.56496,353.6,Transitional Metal,22.370555,22.37,Transitional Metal,34.441828,34.44,Post-Transition Metal,144.29856,144.3,Transitional Metal,50.400022,50.4,Transitional Metal,040030012001,block_group
C23,C-K-23 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,11550,11554.216,Post-Transition Metal,8.328,8.3280079,Metalloid,210.2,210.18641,Alkaline Earth Metal,1.3997955,1.4,Alkaline Earth Metal,0.3632716,0.3633,Transitional Metal,19.972917,19.97,Transitional Metal,663.56079,663.6,Transitional Metal,15.407407,15.41,Transitional Metal,37.1669,37.17,Post-Transition Metal,72.280544,72.28,Transitional Metal,26.66134,26.66,Transitional Metal,040030012001,block_group
C03,C-K-3 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,7807,7806.5404,Post-Transition Metal,6.917,6.9168435,Metalloid,152.5,152.51232,Alkaline Earth Metal,0.6485963,0.6486,Alkaline Earth Metal,0.4519341,0.4519,Transitional Metal,19.449361,19.45,Transitional Metal,424.50927,424.5,Transitional Metal,8.5751513,8.575,Transitional Metal,19.723522,19.72,Post-Transition Metal,145.5108,145.5,Transitional Metal,56.542686,56.54,Transitional Metal,040030015021,block_group
C03,C-K-3 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,5282,5281.5616,Post-Transition Metal,5.765,5.7648814,Metalloid,110.4,110.42921,Alkaline Earth Metal,0.6268299,0.6268,Alkaline Earth Metal,0.2635687,0.2636,Transitional Metal,18.715125,18.72,Transitional Metal,383.14156,383.1,Transitional Metal,6.9361059,6.936,Transitional Metal,22.464239,22.46,Post-Transition Metal,61.482538,61.48,Transitional Metal,16.262062,16.26,Transitional Metal,040030015021,block_group
C31,C-K-31 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,9628,9628.4986,Post-Transition Metal,6.298,6.2982049,Metalloid,355.1,355.05674,Alkaline Earth Metal,1.333669,1.334,Alkaline Earth Metal,1.7008344,1.701,Transitional Metal,24.298868,24.3,Transitional Metal,1490.5214,1491,Transitional Metal,15.983156,15.98,Transitional Metal,375.27385,375.3,Post-Transition Metal,415.81576,415.8,Transitional Metal,138.15165,138.2,Transitional Metal,040030010001,block_group
C31,C-K-31 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,16610,16606.75,Post-Transition Metal,6.083,6.0827173,Metalloid,347.2,347.17286,Alkaline Earth Metal,3.1207052,3.121,Alkaline Earth Metal,1.1433848,1.143,Transitional Metal,33.43643,33.44,Transitional Metal,2493.2999,2493,Transitional Metal,24.182012,24.18,Transitional Metal,388.69884,388.7,Post-Transition Metal,397.17834,397.2,Transitional Metal,180.46942,180.5,Transitional Metal,040030010001,block_group
C32,C-K-32 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,5820,5819.7958,Post-Transition Metal,5.391,5.3911563,Metalloid,165.4,165.38503,Alkaline Earth Metal,0.7916409,0.7916,Alkaline Earth Metal,2.6941924,2.694,Transitional Metal,14.085726,14.09,Transitional Metal,926.06424,926.1,Transitional Metal,10.393086,10.39,Transitional Metal,101.4748,101.5,Post-Transition Metal,603.49175,603.5,Transitional Metal,342.9311,342.9,Transitional Metal,040030011002,block_group
