sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,arsenicRaw,arsenic,arsenicIdentifier,aluminumRaw,aluminum,aluminumIdentifier,bariumRaw,barium,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier,geoid,geoid_type
D35,D-K-35-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,10.4517159,10.4517159,Metalloid,,,Post-Transition Metal,189.682861,189.682861,Alkaline Earth Metal,0.52848164,0.52848164,Alkaline Earth Metal,0.1429569,0.1429569,Transitional Metal,23.8740523,23.8740523,Transitional Metal,633.385575,633.385575,Transitional Metal,17.7039605,17.7039605,Transitional Metal,9.71194134,9.71194134,Post-Transition Metal,65.8440243,65.8440243,Transitional Metal,31.2561852,31.2561852,Transitional Metal,"34.50,-112.28",centroid
D35,D-K-35-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,9.91583466,9.91583466,Metalloid,,,Post-Transition Metal,194.039736,194.039736,Alkaline Earth Metal,0.36316893,0.36316893,Alkaline Earth Metal,0.12909345,0.12909345,Transitional Metal,21.968101,21.968101,Transitional Metal,595.682408,595.682408,Transitional Metal,17.0548622,17.0548622,Transitional Metal,8.79188299,8.79188299,Post-Transition Metal,61.2388678,61.2388678,Transitional Metal,25.3538339,25.3538339,Transitional Metal,"34.50,-112.28",centroid
D37,D-K-37-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,26.5054737,26.5054737,Metalloid,,,Post-Transition Metal,142.33758,142.33758,Alkaline Earth Metal,0.35081608,0.35081608,Alkaline Earth Metal,0.21019108,0.21019108,Transitional Metal,17.1611266,17.1611266,Transitional Metal,646.569168,646.569168,Transitional Metal,13.8597731,13.8597731,Transitional Metal,10.9046576,10.9046576,Post-Transition Metal,70.6398288,70.6398288,Transitional Metal,49.3925159,49.3925159,Transitional Metal,"34.45,-111.98",centroid
D37,D-K-37-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,27.9152728,27.9152728,Metalloid,,,Post-Transition Metal,143.893967,143.893967,Alkaline Earth Metal,0.31810036,0.31810036,Alkaline Earth Metal,0.29918359,0.29918359,Transitional Metal,18.2548785,18.2548785,Transitional Metal,698.332039,698.332039,Transitional Metal,14.6924532,14.6924532,Transitional Metal,11.0128435,11.0128435,Post-Transition Metal,70.6540223,70.6540223,Transitional Metal,45.56591,45.56591,Transitional Metal,"34.45,-111.98",centroid
D38,D-K-38-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,66.8394422,66.8394422,Metalloid,,,Post-Transition Metal,290.055677,290.055677,Alkaline Earth Metal,0.69282869,0.69282869,Alkaline Earth Metal,1.09093625,1.09093625,Transitional Metal,38.3801793,38.3801793,Transitional Metal,1960.01843,1960.01843,Transitional Metal,32.0964143,32.0964143,Transitional Metal,75.7853586,75.7853586,Post-Transition Metal,282.336653,282.336653,Transitional Metal,127.114044,127.114044,Transitional Metal,"34.50,-112.28",centroid
D38,D-K-38-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,9.69554357,9.69554357,Metalloid,,,Post-Transition Metal,103.082134,103.082134,Alkaline Earth Metal,0.32014388,0.32014388,Alkaline Earth Metal,0.60481615,0.60481615,Transitional Metal,27.4611311,27.4611311,Transitional Metal,440.952338,440.952338,Transitional Metal,19.9721223,19.9721223,Transitional Metal,21.8320344,21.8320344,Post-Transition Metal,116.308153,116.308153,Transitional Metal,60.70004,60.70004,Transitional Metal,"34.50,-112.28",centroid
D39,D-K-39-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,23.8764869,23.8764869,Metalloid,,,Post-Transition Metal,132.514274,132.514274,Alkaline Earth Metal,0.51516653,0.51516653,Alkaline Earth Metal,0.24702617,0.24702617,Transitional Metal,24.0423275,24.0423275,Transitional Metal,607.980868,607.980868,Transitional Metal,17.1988501,17.1988501,Transitional Metal,22.8291039,22.8291039,Post-Transition Metal,83.3645916,83.3645916,Transitional Metal,33.8472443,33.8472443,Transitional Metal,"34.65,-112.28",centroid
D39,D-K-39-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,30.2119587,30.2119587,Metalloid,,,Post-Transition Metal,132.164879,132.164879,Alkaline Earth Metal,0.42555511,0.42555511,Alkaline Earth Metal,0.26678586,0.26678586,Transitional Metal,25.2680771,25.2680771,Transitional Metal,611.893425,611.893425,Transitional Metal,17.6170044,17.6170044,Transitional Metal,16.0200636,16.0200636,Post-Transition Metal,81.8337306,81.8337306,Transitional Metal,36.6383592,36.6383592,Transitional Metal,"34.65,-112.28",centroid
D40,D-K-40-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,3.0674414,3.0674414,Metalloid,,,Post-Transition Metal,117.788339,117.788339,Alkaline Earth Metal,#VALUE!,#VALUE!,Alkaline Earth Metal,0.01003178,0.01003178,Transitional Metal,10.8459476,10.8459476,Transitional Metal,318.069726,318.069726,Transitional Metal,5.86104489,5.86104489,Transitional Metal,4.97983711,4.97983711,Post-Transition Metal,35.6732221,35.6732221,Transitional Metal,35.4126937,35.4126937,Transitional Metal,"34.45,-111.98",centroid
D40,D-K-40-Garden,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,21.2862117,21.2862117,Metalloid,,,Post-Transition Metal,178.625945,178.625945,Alkaline Earth Metal,#VALUE!,#VALUE!,Alkaline Earth Metal,0.37057302,0.37057302,Transitional Metal,31.8281934,31.8281934,Transitional Metal,1363.2696,1363.2696,Transitional Metal,28.7217469,28.7217469,Transitional Metal,25.9585157,25.9585157,Post-Transition Metal,80.7715877,80.7715877,Transitional Metal,55.6757859,55.6757859,Transitional Metal,"34.45,-111.98",centroid
